Full Name,Filler Name,Short Name,Districts,Type
ulica Arbuzowa,ulicy Arbuzowej,ul. Arbuzowa,"Mokotów, Ursynów",ulica
ulica Archimedesa,ulicy Archimedesa,ul. Archimedesa,Bemowo,ulica
ulica Architektów,ulicy Architektów,ul. Architektów,Ochota,ulica
ulica Archiwalna,ulicy Archiwalnej,ul. Archiwalna,Ochota,ulica
ulica Krzysztofa Arciszewskiego,ulicy Krzysztofa Arciszewskiego,ul. K. Arciszewskiego,Bemowo,ulica
ulica Henryka Arctowskiego,ulicy Henryka Arctowskiego,ul. H. Arctowskiego,Ursynów,ulica
ulica Argentyńska,ulicy Argentyńskiej,ul. Argentyńska,Praga-Południe,ulica
ulica Arkadii,ulicy Arkadii,ul. Arkadii,Wawer,ulica
ulica Arkadowa,ulicy Arkadowej,ul. Arkadowa,Ursynów,ulica
ulica Arkadyjska,ulicy Arkadyjskiej,ul. Arkadyjska,Bemowo,ulica
ulica Arkony,ulicy Arkony,ul. Arkony,Białołęka,ulica
ulica Arktyczna,ulicy Arktycznej,ul. Arktyczna,Wawer,ulica
ulica Arkuszowa,ulicy Arkuszowej,ul. Arkuszowa,Bielany,ulica
ulica Armatnia,ulicy Armatniej,ul. Armatnia,Wola,ulica
Aleja Armii Krajowej,Alei Armii Krajowej,al. Armii Krajowej,Żoliborz,Aleja
ulica Armii Krajowej,ulicy Armii Krajowej,ul. Armii Krajowej,Wesoła,ulica
Aleja Armii Ludowej,Alei Armii Ludowej,al. Armii Ludowej,Śródmieście,Aleja
ulica II Armii Wojska Polskiego,ulicy II Armii Wojska Polskiego,ul. II Armii Wojska Polskiego,Ursus,ulica
ulica Arniki,ulicy Arniki,ul. Arniki,Wawer,ulica
ulica Aroniowa,ulicy Aroniowej,ul. Aroniowa,Białołęka,ulica
ulica Arrasowa,ulicy Arrasowej,ul. Arrasowa,Bielany,ulica
ulica Arsenalska,ulicy Arsenalskiej,ul. Arsenalska,Rembertów,ulica
ulica Artemidy,ulicy Artemidy,ul. Artemidy,Bemowo,ulica
ulica Artyleryjska,ulicy Artyleryjskiej,ul. Artyleryjska,Targówek,ulica
ulica Artystów,ulicy Artystów,ul. Artystów,Ursynów,ulica
ulica Artystyczna,ulicy Artystycznej,ul. Artystyczna,Wawer,ulica
ulica Asfaltowa,ulicy Asfaltowej,ul. Asfaltowa,Mokotów,ulica
ulica Szymona Askenazego,ulicy Szymona Askenazego,ul. Sz. Askenazego,Targówek,ulica
ulica Adama Asnyka,ulicy Adama Asnyka,ul. A. Asnyka,Ochota,ulica
ulica Adama Asnyka,ulicy Adama Asnyka,ul. A. Asnyka,Wesoła,ulica
ulica Aspekt,ulicy Aspekt,ul. Aspekt,Bielany,ulica
ulica Astronautów,ulicy Astronautów,ul. Astronautów,Włochy,ulica
ulica Astronomów,ulicy Astronomów,ul. Astronomów,Wola,ulica
ulica Astrowa,ulicy Astrowej,ul. Astrowa,Białołęka,ulica
ulica Astrów,ulicy Astrów,ul. Astrów,Wesoła,ulica
ulica Astry,ulicy Astry,ul. Astry,Wawer,ulica
ulica Ateńska,ulicy Ateńskiej,ul. Ateńska,Praga-Południe,ulica
ulica Atlasowa,ulicy Atlasowej,ul. Atlasowa,Włochy,ulica
ulica Atłasowa,ulicy Atłasowej,ul. Atłasowa,Ursynów,ulica
ulica Atrakcyjna,ulicy Atrakcyjnej,ul. Atrakcyjna,Białołęka,ulica
ulica Atutowa,ulicy Atutowej,ul. Atutowa,Białołęka,ulica
ulica Augustówka,ulicy Augustówka,ul. Augustówka,Mokotów,ulica
ulica Awionetki RWD,ulicy Awionetki RWD,ul. Awionetki RWD,Praga-Południe,ulica
ulica Teodora Axentowicza,ulicy Teodora Axentowicza,ul. T. Axentowicza,Wawer,ulica
ulica Azaliowa,ulicy Azaliowej,ul. Azaliowa,Wawer,ulica
ulica Azaliowa,ulicy Azaliowej,ul. Azaliowa,Wesoła,ulica
ulica Babicka,ulicy Babickiej,ul. Babicka,Bielany,ulica
ulica Babie Lato,ulicy Babie Lato,ul. Babie Lato,Rembertów,ulica
ulica Babiego Lata,ulicy Babiego Lata,ul. Babiego Lata,Wesoła,ulica
ulica Babimojska,ulicy Babimojskiej,ul. Babimojska,Bemowo,ulica
ulica Babinicza,ulicy Babinicza,ul. Babinicza,Białołęka,ulica
ulica Baborowska,ulicy Baborowskiej,ul. Baborowska,Bemowo,ulica
ulica Baboszewska,ulicy Baboszewskiej,ul. Baboszewska,Mokotów,ulica
ulica Marcella Bacciarellego,ulicy Marcella Bacciarellego,ul. M. Bacciarellego,Śródmieście,ulica
ulica Grażyny Bacewiczówny,ulicy Grażyny Bacewiczówny,ul. G. Bacewiczówny,Ursynów,ulica
ulica Jana Sebastiana Bacha,ulicy Jana Sebastiana Bacha,ul. J. S. Bacha,Mokotów,ulica
ulica Bachmacka,ulicy Bachmackiej,ul. Bachmacka,Mokotów,ulica
ulica Bachusa,ulicy Bachusa,ul. Bachusa,Wawer,ulica
ulica Krzysztofa Kamila Baczyńskiego,ulicy Krzysztofa Kamila Baczyńskiego,ul. K. K. Baczyńskiego,Śródmieście,ulica
ulica Badowska,ulicy Badowskiej,ul. Badowska,Mokotów,ulica
ulica Badylarska,ulicy Badylarskiej,ul. Badylarska,Włochy,ulica
ulica Bagatela,ulicy Bagatela,ul. Bagatela,Śródmieście,ulica
ulica Bagażowa,ulicy Bagażowej,ul. Bagażowa,Mokotów,ulica
ulica Bagno,ulicy Bagno,ul. Bagno,Śródmieście,ulica
ulica Rosy Bailly,ulicy Rosy Bailly,ul. R. Bailly,Bemowo,ulica
ulica Bajaderki,ulicy Bajaderki,ul. Bajaderki,Ursynów,ulica
ulica Jerzego Bajana,ulicy Jerzego Bajana,ul. J. Bajana,Bielany,ulica
ulica Bajeczna,ulicy Bajecznej,ul. Bajeczna,Targówek,ulica
Alejka „Bajka Iskierki”,Alejki „Bajka Iskierki”,al. „Bajka Iskierki”,Śródmieście,Aleja parkowa
ulica Bajkowa,ulicy Bajkowej,ul. Bajkowa,Wawer,ulica
ulica Bajońska,ulicy Bajońskiej,ul. Bajońska,Praga-Południe,ulica
ulica Bakalarska,ulicy Bakalarskiej,ul. Bakalarska,Włochy,ulica
ulica Bakaliowa,ulicy Bakaliowej,ul. Bakaliowa,Praga-Południe,ulica
ulica Balaton,ulicy Balaton,ul. Balaton,Bielany,ulica
ulica Balbinki,ulicy Balbinki,ul. Balbinki,Ursus,ulica
ulica Józefa Balcerzaka,ulicy Józefa Balcerzaka,ul. J. Balcerzaka,Bielany,ulica
ulica Baletowa,ulicy Baletowej,ul. Baletowa,Ursynów,ulica
ulica Stefana Baleya,ulicy Stefana Baleya,ul. S. Baleya,Ochota,ulica
ulica Balicka,ulicy Balickiej,ul. Balicka,Ursus,ulica
Aleja Stanisława Balińskiego,Alei Stanisława Balińskiego,al. S. Balińskiego,Śródmieście,Aleja parkowa
ulica Balkonowa,ulicy Balkonowej,ul. Balkonowa,Targówek,ulica
ulica Balladyny,ulicy Balladyny,ul. Balladyny,Mokotów,ulica
ulica Balonowa,ulicy Balonowej,ul. Balonowa,Mokotów,ulica
ulica płk. Zoltána Baló,ulicy płk. Zoltána Baló,ul. płk. Z. Baló,Ursynów,ulica
ulica Baltazara,ulicy Baltazara,ul. Baltazara,Wola,ulica
ulica Honoriusza Balzaka,ulicy Honoriusza Balzaka,ul. H. Balzaka,Bielany,ulica
ulica Bałtycka,ulicy Bałtyckiej,ul. Bałtycka,Białołęka,ulica
ulica Michała Bałuckiego,ulicy Michała Bałuckiego,ul. M. Bałuckiego,Mokotów,ulica
ulica Bambusowa,ulicy Bambusowej,ul. Bambusowa,Wawer,ulica
ulica Stefana Banacha,ulicy Stefana Banacha,ul. S. Banacha,Ochota,ulica
ulica Bananowa,ulicy Bananowej,ul. Bananowa,Mokotów,ulica
ulica Banderii,ulicy Banderii,ul. Banderii,Wola,ulica
ulica Bandoski,ulicy Bandoski,ul. Bandoski,Mokotów,ulica
ulica Władysława Bandurskiego,ulicy Władysława Bandurskiego,ul. W. Bandurskiego,Ursus,ulica
ulica Banioska,ulicy Banioskiej,ul. Banioska,Mokotów,ulica
ulica Bankowa,ulicy Bankowej,ul. Bankowa,Wesoła,ulica
Plac Bankowy,Placu Bankowego,pl. Bankowy,Śródmieście,Plac
ulica Baranowska,ulicy Baranowskiej,ul. Baranowska,Ursus,ulica
ulica św. Barbary,ulicy św. Barbary,ul. św. Barbary,Śródmieście,ulica
ulica Barbórki,ulicy Barbórki,ul. Barbórki,Wawer,ulica
ulica Barcelońska,ulicy Barcelońskiej,ul. Barcelońska,Mokotów,ulica
ulica Stanisława Barcewicza,ulicy Stanisława Barcewicza,ul. S. Barcewicza,Wawer,ulica
ulica Barcicka,ulicy Barcickiej,ul. Barcicka,Bielany,ulica
ulica Aleksandra Bardiniego,ulicy Aleksandra Bardiniego,ul. A. Bardiniego,Wawer,ulica
ulica Piotra Bardowskiego,ulicy Piotra Bardowskiego,ul. P. Bardowskiego,Targówek,ulica
ulica Stanisława Barei,ulicy Stanisława Barei,ul. S. Barei,Białołęka,ulica
ulica Barkocińska,ulicy Barkocińskiej,ul. Barkocińska,Targówek,ulica
ulica Norberta Barlickiego,ulicy Norberta Barlickiego,ul. N. Barlickiego,Rembertów,ulica
ulica Barokowa,ulicy Barokowej,ul. Barokowa,Śródmieście,ulica
ulica Henryka Barona,ulicy Henryka Barona,ul. H. Barona,Wola,ulica
ulica Barska,ulicy Barskiej,ul. Barska,Ochota,ulica
Strona Franciszka Barssa,Strony Franciszka Barssa,Strona F. Barssa,Śródmieście,Strona
ulica Barszczewska,ulicy Barszczewskiej,ul. Barszczewska,Żoliborz,ulica
ulica Elżbiety Barszczewskiej,ulicy Elżbiety Barszczewskiej,ul. E. Barszczewskiej,Białołęka,ulica
ulica Bartłomieja,ulicy Bartłomieja,ul. Bartłomieja,Mokotów,ulica
ulica Bartnicza,ulicy Bartniczej,ul. Bartnicza,Targówek,ulica
ulica Béli Bartóka,ulicy Béli Bartóka,ul. B. Bartóka,Ursynów,ulica
ulica Sylwestra Bartosika,ulicy Sylwestra Bartosika,ul. S. Bartosika,Praga-Południe,ulica
ulica Juliana Bartoszewicza,ulicy Juliana Bartoszewicza,ul. J. Bartoszewicza,Śródmieście,ulica
ulica Franciszka Bartoszka,ulicy Franciszka Bartoszka,ul. F. Bartoszka,Mokotów,ulica
ulica Bartoszycka,ulicy Bartoszyckiej,ul. Bartoszycka,Wawer,ulica
ulica Bartycka,ulicy Bartyckiej,ul. Bartycka,Mokotów,ulica
ulica Barwinkowa,ulicy Barwinkowej,ul. Barwinkowa,Wawer,ulica
ulica Barwna,ulicy Barwnej,ul. Barwna,Ursynów,ulica
ulica Barwnicza,ulicy Barwniczej,ul. Barwnicza,Praga-Południe,ulica
ulica Baryczków,ulicy Baryczków,ul. Baryczków,Targówek,ulica
ulica Basetli,ulicy Basetli,ul. Basetli,Białołęka,ulica
ulica Baśniowa,ulicy Baśniowej,ul. Baśniowa,Ochota,ulica
ulica Baśniowa,ulicy Baśniowej,ul. Baśniowa,Wesoła,ulica
ulica Batalionów Chłopskich,ulicy Batalionów Chłopskich,ul. Batalionów Chłopskich,Bemowo,ulica
ulica Batalionu „Miotła”,ulicy Batalionu „Miotła”,ul. Batalionu „Miotła”,Bemowo,ulica
ulica Batalionu AK „Bałtyk”,ulicy Batalionu AK „Bałtyk”,ul. Batalionu AK „Bałtyk”,Mokotów,ulica
ulica Batalionu AK „Karpaty”,ulicy Batalionu AK „Karpaty”,ul. Batalionu AK „Karpaty”,Mokotów,ulica
ulica Batalionu AK „Oaza”,ulicy Batalionu AK „Oaza”,ul. Batalionu AK „Oaza”,Mokotów,ulica
ulica Batalionu AK „Olza”,ulicy Batalionu AK „Olza”,ul. Batalionu AK „Olza”,Mokotów,ulica
ulica Batalionu AK „Parasol”,ulicy Batalionu AK „Parasol”,ul. Batalionu AK „Parasol”,Wola,ulica
ulica Batalionu AK „Pięść”,ulicy Batalionu AK „Pięść”,ul. Batalionu AK „Pięść”,Wola,ulica
ulica Batalionu AK „Ryś”,ulicy Batalionu AK „Ryś”,ul. Batalionu AK „Ryś”,Mokotów,ulica
ulica Batalionu AK „Włochy”,ulicy Batalionu AK „Włochy”,ul. Batalionu AK „Włochy”,"Ursus, Włochy",ulica
ulica Batalionu AK „Zośka”,ulicy Batalionu AK „Zośka”,ul. Batalionu AK „Zośka”,Wola,ulica
ulica Batalionu Platerówek,ulicy Batalionu Platerówek,ul. Batalionu Platerówek,Praga-Północ,ulica
ulica Stefana Batorego,ulicy Stefana Batorego,ul. Stefana Batorego,Mokotów,ulica
ulica Batumi,ulicy Batumi,ul. Batumi,Mokotów,ulica
ulica Batuty,ulicy Batuty,ul. Batuty,Mokotów,ulica
ulica Batystowa,ulicy Batystowej,ul. Batystowa,Ursynów,ulica
ulica Bawełniana,ulicy Bawełnianej,ul. Bawełniana,Bemowo,ulica
ulica Bazaltowa,ulicy Bazaltowej,ul. Bazaltowa,Wesoła,ulica
ulica Bazyliańska,ulicy Bazyliańskiej,ul. Bazyliańska,Targówek,ulica
ulica Bazyliowa,ulicy Bazyliowej,ul. Bazyliowa,Wilanów,ulica
ulica Bażancia,ulicy Bażanciej,ul. Bażancia,Ursynów,ulica
Aleja Józefa Becka,Alei Józefa Becka,al. J. Becka,Mokotów,Aleja
ulica Beczkowa,ulicy Beczkowej,ul. Beczkowa,Targówek,ulica
ulica Bednarska,ulicy Bednarskiej,ul. Bednarska,Śródmieście,ulica
ulica Ludwiga van Beethovena,ulicy Ludwiga van Beethovena,ul. L. van Beethovena,Mokotów,ulica
ulica Begonii,ulicy Begonii,ul. Begonii,Wawer,ulica
ulica Bekasów,ulicy Bekasów,ul. Bekasów,Ursynów,ulica
ulica Belgijska,ulicy Belgijskiej,ul. Belgijska,Mokotów,ulica
ulica Belgradzka,ulicy Belgradzkiej,ul. Belgradzka,Ursynów,ulica
ulica Vincenza Belliniego,ulicy Vincenza Belliniego,ul. V. Belliniego,Białołęka,ulica
ulica Bellony,ulicy Bellony,ul. Bellony,Rembertów,ulica
ulica Józefa Bellottiego,ulicy Józefa Bellottiego,ul. J. Bellottiego,Wola,ulica
ulica Belwederska,ulicy Belwederskiej,ul. Belwederska,"Mokotów, Śródmieście",ulica
ulica Bełchatowska,ulicy Bełchatowskiej,ul. Bełchatowska,Praga-Południe,ulica
ulica Bełdan,ulicy Bełdan,ul. Bełdan,Mokotów,ulica
ulica Bełska,ulicy Bełskiej,ul. Bełska,Mokotów,ulica
ulica Władysława Bełzy,ulicy Władysława Bełzy,ul. W. Bełzy,Ursus,ulica
ulica Bełżecka,ulicy Bełżeckiej,ul. Bełżecka,Praga-Południe,ulica
ulica Józefa Bema,ulicy Józefa Bema,ul. J. Bema,Wola,ulica
ulica Benedykta,ulicy Benedykta,ul. Benedykta,Targówek,ulica
ulica Benedykta Polaka,ulicy Benedykta Polaka,ul. Benedykta Polaka,Ursynów,ulica
ulica Jamesa Gordona Bennetta,ulicy Jamesa Gordona Bennetta,ul. J. G. Bennetta,Włochy,ulica
ulica Berberysowa,ulicy Berberysowej,ul. Berberysowa,Wawer,ulica
ulica Leona Berensona,ulicy Leona Berensona,ul. L. Berensona,Białołęka,ulica
ulica Stefana Berenta,ulicy Stefana Berenta,ul. S. Berenta,Wesoła,ulica
ulica Wacława Berenta,ulicy Wacława Berenta,ul. W. Berenta,Bielany,ulica
ulica Berestecka,ulicy Beresteckiej,ul. Berestecka,Wola,ulica
ulica Berezyńska,ulicy Berezyńskiej,ul. Berezyńska,Praga-Południe,ulica
ulica Bergamotki,ulicy Bergamotki,ul. Bergamotki,Mokotów,ulica
ulica Berka Joselewicza,ulicy Berka Joselewicza,ul. Berka Joselewicza,Praga-Południe,ulica
ulica Bernardyńska,ulicy Bernardyńskiej,ul. Bernardyńska,Mokotów,ulica
Plac Bernardyński,Placu Bernardyńskiego,pl. Bernardyński,Mokotów,Plac
ulica Berneńska,ulicy Berneńskiej,ul. Berneńska,Praga-Południe,ulica
ulica Beskidzka,ulicy Beskidzkiej,ul. Beskidzka,Praga-Południe,ulica
ulica Betonowa,ulicy Betonowej,ul. Betonowa,Praga-Południe,ulica
ulica Będzińska,ulicy Będzińskiej,ul. Będzińska,Wawer,ulica
ulica Biała,ulicy Białej,ul. Biała,Wola,ulica
ulica Białego Dębu,ulicy Białego Dębu,ul. Białego Dębu,Mokotów,ulica
ulica Białej Koniczyny,ulicy Białej Koniczyny,ul. Białej Koniczyny,Mokotów,ulica
ulica Białej Wody,ulicy Białej Wody,ul. Białej Wody,Ursynów,ulica
ulica Białoborska,ulicy Białoborskiej,ul. Białoborska,Wawer,ulica
ulica Białobrzeska,ulicy Białobrzeskiej,ul. Białobrzeska,Ochota,ulica
ulica Białogońska,ulicy Białogońskiej,ul. Białogońska,Ursynów,ulica
ulica Białołęcka,ulicy Białołęckiej,ul. Białołęcka,Białołęka,ulica
ulica Białoskórnicza,ulicy Białoskórniczej,ul. Białoskórnicza,Śródmieście,ulica
ulica Białostocka,ulicy Białostockiej,ul. Białostocka,Praga-Północ,ulica
Dreptak Mirona Białoszewskiego,Dreptaka Mirona Białoszewskiego,Dreptak M. Białoszewskiego,Śródmieście,Pasaż
ulica Białowiejska,ulicy Białowiejskiej,ul. Białowiejska,Wola,ulica
ulica Białowieska,ulicy Białowieskiej,ul. Białowieska,Praga-Południe,ulica
ulica Białozora,ulicy Białozora,ul. Białozora,Ursynów,ulica
ulica Biały Kamień,ulicy Biały Kamień,ul. Biały Kamień,Mokotów,ulica
ulica Biechowska,ulicy Biechowskiej,ul. Biechowska,Mokotów,ulica
ulica Biedronki,ulicy Biedronki,ul. Biedronki,Wilanów,ulica
Międzymurze Piotra Biegańskiego,Międzymurza Piotra Biegańskiego,Międzymurze P. Biegańskiego,Śródmieście,Międzymurze
ulica Bielańska,ulicy Bielańskiej,ul. Bielańska,Śródmieście,ulica
ulica Bielawska,ulicy Bielawskiej,ul. Bielawska,Mokotów,ulica
ulica Bielika,ulicy Bielika,ul. Bielika,Wawer,ulica
ulica Bielska,ulicy Bielskiej,ul. Bielska,Ochota,ulica
ulica Marcina Bielskiego,ulicy Marcina Bielskiego,ul. M. Bielskiego,Wola,ulica
ulica Bielszowicka,ulicy Bielszowickiej,ul. Bielszowicka,Wawer,ulica
ulica Bieniewicka,ulicy Bieniewickiej,ul. Bieniewicka,Żoliborz,ulica
ulica Władysława Bieńczaka,ulicy Władysława Bieńczaka,ul. W. Bieńczaka,Ursus,ulica
ulica Biernacka,ulicy Biernackiej,ul. Biernacka,Wawer,ulica
ulica Biernata z Lublina,ulicy Biernata z Lublina,ul. Biernata z Lublina,Ursus,ulica
ulica Biesiadna,ulicy Biesiadnej,ul. Biesiadna,Wesoła,ulica
ulica Bieszczadzka,ulicy Bieszczadzkiej,ul. Bieszczadzka,Białołęka,ulica
ulica Bieżanowska,ulicy Bieżanowskiej,ul. Bieżanowska,Mokotów,ulica
ulica Bieżuńska,ulicy Bieżuńskiej,ul. Bieżuńska,Targówek,ulica
ulica Herakliusza Billewicza,ulicy Herakliusza Billewicza,ul. H. Billewicza,Białołęka,ulica
ulica Biłgorajska,ulicy Biłgorajskiej,ul. Biłgorajska,Praga-Południe,ulica
ulica Stanisława Binieckiego,ulicy Stanisława Binieckiego,ul. S. Binieckiego,Ochota,ulica
ulica Biograficzna,ulicy Biograficznej,ul. Biograficzna,Bielany,ulica
ulica Biruty,ulicy Biruty,ul. Biruty,Targówek,ulica
ulica Birżańska,ulicy Birżańskiej,ul. Birżańska,Targówek,ulica
ulica Biskupia,ulicy Biskupiej,ul. Biskupia,Praga-Południe,ulica
ulica Bitna,ulicy Bitnej,ul. Bitna,Żoliborz,ulica
ulica Bitwy Grochowskiej,ulicy Bitwy Grochowskiej,ul. Bitwy Grochowskiej,Praga-Południe,ulica
ulica Bitwy pod Lenino,ulicy Bitwy pod Lenino,ul. Bitwy pod Lenino,Wola,ulica
ulica Bitwy pod Rokitną,ulicy Bitwy pod Rokitną,ul. Bitwy pod Rokitną,Żoliborz,ulica
ulica Bitwy Warszawskiej 1920 r.,ulicy Bitwy Warszawskiej 1920 r.,ul. Bitwy Warszawskiej 1920 r.,Ochota,ulica
ulica Biwakowa,ulicy Biwakowej,ul. Biwakowa,Wilanów,ulica
ulica Blacharska,ulicy Blacharskiej,ul. Blacharska,Mokotów,ulica
ulica Blaszana,ulicy Blaszanej,ul. Blaszana,Praga-Północ,ulica
ulica Jana Blatona,ulicy Jana Blatona,ul. J. Blatona,Bemowo,ulica
