63  ,ulica Animuszu                                           ,ulicy Animuszu                                                                  ,ul. Animuszu
64  ,ulica Annopol                                            ,ulicy Annopol                                                                   ,ul. Annopol
65  ,ulica Anny Jagiellonki                                   ,ulicy Anny Jagiellonki                                                          ,ul. Anny Jagiellonki
66  ,ulica Józsefa Antalla                                    ,ulicy Józsefa Antalla                                                           ,ul. J. Antalla
67  ,ulica Antenowa                                           ,ulicy Antenowej                                                                 ,ul. Antenowa
68  ,ulica Antka Rozpylacza                                   ,ulicy Antka Rozpylacza                                                          ,ul. Antka Rozpylacza
69  ,ulica św. Antoniego                                      ,ulicy św. Antoniego                                                             ,ul. św. Antoniego
70  ,ulica Antoniewska                                        ,ulicy Antoniewskiej                                                             ,ul. Antoniewska
71  ,ulica Antyczna                                           ,ulicy Antycznej                                                                 ,ul. Antyczna
72  ,ulica Antygony                                           ,ulicy Antygony                                                                  ,ul. Antygony
73  ,ulica Anyżkowa                                           ,ulicy Anyżkowej                                                                 ,ul. Anyżkowa
74  ,ulica Apartamentowa                                      ,ulicy Apartamentowej                                                            ,ul. Apartamentowa
75  ,ulica Apenińska                                          ,ulicy Apenińskiej                                                               ,ul. Apenińska
76  ,Skwer Mieczysława Dawida Apfelbauma                      ,Skweru Mieczysława Dawida Apfelbauma                                            ,Skwer M. D. Apfelbauma
77  ,ulica Aplikancka                                         ,ulicy Aplikanckiej                                                              ,ul. Aplikancka
78  ,ulica Apollina                                           ,ulicy Apollina                                                                  ,ul. Apollina
79  ,ulica Apteczna                                           ,ulicy Aptecznej                                                                 ,ul. Apteczna
81  ,ulica Arabska                                            ,ulicy Arabskiej                                                                 ,ul. Arabska
82  ,ulica Arachidowa                                         ,ulicy Arachidowej                                                               ,ul. Arachidowa
83  ,ulica Arbuzowa                                           ,ulicy Arbuzowej                                                                 ,ul. Arbuzowa
84  ,ulica Archimedesa                                        ,ulicy Archimedesa                                                               ,ul. Archimedesa
85  ,ulica Architektów                                        ,ulicy Architektów                                                               ,ul. Architektów
86  ,ulica Archiwalna                                         ,ulicy Archiwalnej                                                               ,ul. Archiwalna
87  ,ulica Krzysztofa Arciszewskiego                          ,ulicy Krzysztofa Arciszewskiego                                                 ,ul. K. Arciszewskiego
88  ,ulica Henryka Arctowskiego                               ,ulicy Henryka Arctowskiego                                                      ,ul. H. Arctowskiego
89  ,ulica Argentyńska                                        ,ulicy Argentyńskiej                                                             ,ul. Argentyńska
90  ,ulica Arkadii                                            ,ulicy Arkadii                                                                   ,ul. Arkadii
91  ,ulica Arkadowa                                           ,ulicy Arkadowej                                                                 ,ul. Arkadowa
92  ,ulica Arkadyjska                                         ,ulicy Arkadyjskiej                                                              ,ul. Arkadyjska
93  ,ulica Arkony                                             ,ulicy Arkony                                                                    ,ul. Arkony
94  ,ulica Arktyczna                                          ,ulicy Arktycznej                                                                ,ul. Arktyczna
95  ,ulica Arkuszowa                                          ,ulicy Arkuszowej                                                                ,ul. Arkuszowa
96  ,ulica Armatnia                                           ,ulicy Armatniej                                                                 ,ul. Armatnia
97  ,Aleja Armii Krajowej                                     ,Alei Armii Krajowej                                                             ,al. Armii Krajowej
98  ,ulica Armii Krajowej                                     ,ulicy Armii Krajowej                                                            ,ul. Armii Krajowej
99  ,Aleja Armii Ludowej                                      ,Alei Armii Ludowej                                                              ,al. Armii Ludowej
100 ,ulica II Armii Wojska Polskiego                          ,ulicy II Armii Wojska Polskiego                                                 ,ul. II Armii Wojska Polskiego
101 ,ulica Arniki                                             ,ulicy Arniki                                                                    ,ul. Arniki
102 ,ulica Aroniowa                                           ,ulicy Aroniowej                                                                 ,ul. Aroniowa
103 ,ulica Arrasowa                                           ,ulicy Arrasowej                                                                 ,ul. Arrasowa
104 ,ulica Arsenalska                                         ,ulicy Arsenalskiej                                                              ,ul. Arsenalska
105 ,ulica Artemidy                                           ,ulicy Artemidy                                                                  ,ul. Artemidy
106 ,ulica Artyleryjska                                       ,ulicy Artyleryjskiej                                                            ,ul. Artyleryjska
107 ,ulica Artystów                                           ,ulicy Artystów                                                                  ,ul. Artystów
108 ,ulica Artystyczna                                        ,ulicy Artystycznej                                                              ,ul. Artystyczna
109 ,ulica Asfaltowa                                          ,ulicy Asfaltowej                                                                ,ul. Asfaltowa
110 ,ulica Szymona Askenazego                                 ,ulicy Szymona Askenazego                                                        ,ul. Sz. Askenazego
111 ,ulica Adama Asnyka                                       ,ulicy Adama Asnyka                                                              ,ul. A. Asnyka
113 ,ulica Aspekt                                             ,ulicy Aspekt                                                                    ,ul. Aspekt
114 ,ulica Astronautów                                        ,ulicy Astronautów                                                               ,ul. Astronautów
115 ,ulica Astronomów                                         ,ulicy Astronomów                                                                ,ul. Astronomów
116 ,ulica Astrowa                                            ,ulicy Astrowej                                                                  ,ul. Astrowa
117 ,ulica Astrów                                             ,ulicy Astrów                                                                    ,ul. Astrów
118 ,ulica Astry                                              ,ulicy Astry                                                                     ,ul. Astry
119 ,ulica Ateńska                                            ,ulicy Ateńskiej                                                                 ,ul. Ateńska
120 ,ulica Atlasowa                                           ,ulicy Atlasowej                                                                 ,ul. Atlasowa
121 ,ulica Attykowa                                           ,ulicy Attykowej                                                                 ,ul. Attykowa
122 ,ulica Atutowa                                            ,ulicy Atutowej                                                                  ,ul. Atutowa
123 ,ulica Augustówka                                         ,ulicy Augustówka                                                                ,ul. Augustówka
124 ,ulica Awionetki RWD                                      ,ulicy Awionetki RWD                                                             ,ul. Awionetki RWD
125 ,ulica Teodora Axentowicza                                ,ulicy Teodora Axentowicza                                                       ,ul. T. Axentowicza
126 ,ulica Azaliowa                                           ,ulicy Azaliowej                                                                 ,ul. Azaliowa
127 ,ulica Azaliowa                                           ,ulicy Azaliowej                                                                 ,ul. Azaliowa
128 ,ulica Babicka                                            ,ulicy Babickiej                                                                 ,ul. Babicka
129 ,ulica Babie Lato                                         ,ulicy Babie Lato                                                                ,ul. Babie Lato
130 ,ulica Babiego Lata                                       ,ulicy Babiego Lata                                                              ,ul. Babiego Lata
131 ,ulica Babimojska                                         ,ulicy Babimojskiej                                                              ,ul. Babimojska
132 ,ulica Babinicza                                          ,ulicy Babinicza                                                                 ,ul. Babinicza
133 ,ulica Baborowska                                         ,ulicy Baborowskiej                                                              ,ul. Baborowska
134 ,ulica Baboszewska                                        ,ulicy Baboszewskiej                                                             ,ul. Baboszewska
135 ,ulica Marcella Bacciarellego                             ,ulicy Marcella Bacciarellego                                                    ,ul. M. Bacciarellego
136 ,ulica Grażyny Bacewiczówny                               ,ulicy Grażyny Bacewiczówny                                                      ,ul. G. Bacewiczówny
137 ,ulica Jana Sebastiana Bacha                              ,ulicy Jana Sebastiana Bacha                                                     ,ul. J. S. Bacha
138 ,ulica Bachmacka                                          ,ulicy Bachmackiej                                                               ,ul. Bachmacka
139 ,ulica Bachusa                                            ,ulicy Bachusa                                                                   ,ul. Bachusa
140 ,ulica Krzysztofa Kamila Baczyńskiego                     ,ulicy Krzysztofa KamilaBaczyńskiego                                             ,ul. K. K. Baczyńskiego
141 ,ulica Badowska                                           ,ulicy Badowskiej                                                                ,ul. Badowska
142 ,ulica Badylarska                                         ,ulicy Badylarskiej                                                              ,ul. Badylarska
143 ,ulica Bagatela                                           ,ulicy Bagatela                                                                  ,ul. Bagatela
144 ,ulica Bagażowa                                           ,ulicy Bagażowej                                                                 ,ul. Bagażowa
145 ,ulica Bagno                                              ,ulicy Bagno                                                                     ,ul. Bagno
146 ,ulica Rosy Bailly                                        ,ulicy Rosy Bailly                                                               ,ul. R. Bailly
147 ,ulica Jerzego Bajana                                     ,ulicy Jerzego Bajana                                                            ,ul. J. Bajana
148 ,ulica Bajeczna                                           ,ulicy Bajecznej                                                                 ,ul. Bajeczna
149 ,Alejka „Bajka Iskierki”                                  ,Alejki „Bajka Iskierki”                                                         ,al. „Bajka Iskierki”
150 ,ulica Bajkowa                                            ,ulicy Bajkowej                                                                  ,ul. Bajkowa
151 ,ulica Bajońska                                           ,ulicy Bajońskiej                                                                ,ul. Bajońska
152 ,ulica Bakalarska                                         ,ulicy Bakalarskiej                                                              ,ul. Bakalarska
153 ,ulica Bakaliowa                                          ,ulicy Bakaliowej                                                                ,ul. Bakaliowa
154 ,ulica Balaton                                            ,ulicy Balaton                                                                   ,ul. Balaton
155 ,ulica Balbinki                                           ,ulicy Balbinki                                                                  ,ul. Balbinki
156 ,ulica Józefa Balcerzaka                                  ,ulicy Józefa Balcerzaka                                                         ,ul. J. Balcerzaka
157 ,ulica Baletowa                                           ,ulicy Baletowej                                                                 ,ul. Baletowa
158 ,ulica Stefana Baleya                                     ,ulicy Stefana Baleya                                                            ,ul. S. Baleya
159 ,ulica Balicka                                            ,ulicy Balickiej                                                                 ,ul. Balicka
160 ,ulica Balkonowa                                          ,ulicy Balkonowej                                                                ,ul. Balkonowa
161 ,ulica Balladyny                                          ,ulicy Balladyny                                                                 ,ul. Balladyny
162 ,ulica Balonowa                                           ,ulicy Balonowej                                                                 ,ul. Balonowa
163 ,ulica płk. Zoltána Baló                                  ,ulicy płk. Zoltána Baló                                                         ,ul. płk. Z. Baló
164 ,ulica Baltazara                                          ,ulicy Baltazara                                                                 ,ul. Baltazara
165 ,ulica Honoriusza Balzaka                                 ,ulicy Honoriusza Balzaka                                                        ,ul. H. Balzaka
166 ,ulica Bałtycka                                           ,ulicy Bałtyckiej                                                                ,ul. Bałtycka
167 ,ulica Michała Bałuckiego                                 ,ulicy Michała Bałuckiego                                                        ,ul. M. Bałuckiego
168 ,ulica Bambusowa                                          ,ulicy Bambusowej                                                                ,ul. Bambusowa
169 ,ulica Stefana Banacha                                    ,ulicy Stefana Banacha                                                           ,ul. S. Banacha
170 ,ulica Bananowa                                           ,ulicy Bananowej                                                                 ,ul. Bananowa
171 ,ulica Banderii                                           ,ulicy Banderii                                                                  ,ul. Banderii
172 ,ulica Bandoski                                           ,ulicy Bandoski                                                                  ,ul. Bandoski
173 ,ulica Władysława Bandurskiego                            ,ulicy Władysława Bandurskiego                                                   ,ul. W. Bandurskiego
174 ,ulica Banioska                                           ,ulicy Banioskiej                                                                ,ul. Banioska
175 ,ulica Bankowa                                            ,ulicy Bankowej                                                                  ,ul. Bankowa
176 ,Plac Bankowy                                             ,Placu Bankowego                                                                 ,pl. Bankowy
177 ,ulica Baranowska                                         ,ulicy Baranowskiej                                                              ,ul. Baranowska
178 ,ulica św. Barbary                                        ,ulicy św. Barbary                                                               ,ul. św. Barbary
179 ,ulica Barbórki                                           ,ulicy Barbórki                                                                  ,ul. Barbórki
180 ,ulica Barcelońska                                        ,ulicy Barcelońskiej                                                             ,ul. Barcelońska
181 ,ulica Stanisława Barcewicza                              ,ulicy Stanisława Barcewicza                                                     ,ul. S. Barcewicza
182 ,ulica Barcicka                                           ,ulicy Barcickiej                                                                ,ul. Barcicka
183 ,ulica Aleksandra Bardiniego                              ,ulicy Aleksandra Bardiniego                                                     ,ul. A. Bardiniego
184 ,ulica Piotra Bardowskiego                                ,ulicy Piotra Bardowskiego                                                       ,ul. P. Bardowskiego
185 ,ulica Stanisława Barei                                   ,ulicy Stanisława Barei                                                          ,ul. S. Barei
186 ,ulica Barkocińska                                        ,ulicy Barkocińskiej                                                             ,ul. Barkocińska
187 ,ulica Norberta Barlickiego                               ,ulicy Norberta Barlickiego                                                      ,ul. N. Barlickiego
188 ,ulica Barokowa                                           ,ulicy Barokowej                                                                 ,ul. Barokowa
189 ,ulica Henryka Barona                                     ,ulicy Henryka Barona                                                            ,ul. H. Barona
190 ,ulica Barska                                             ,ulicy Barskiej                                                                  ,ul. Barska
191 ,Strona Franciszka Barssa                                 ,Strony Franciszka Barssa                                                        ,Strona F. Barssa
192 ,ulica Barszczewska                                       ,ulicy Barszczewskiej                                                            ,ul. Barszczewska
193 ,ulica Elżbiety Barszczewskiej                            ,ulicy Elżbiety Barszczewskiej                                                   ,ul. E. Barszczewskiej
194 ,ulica Bartłomieja                                        ,ulicy Bartłomieja                                                               ,ul. Bartłomieja
195 ,ulica Bartnicza                                          ,ulicy Bartniczej                                                                ,ul. Bartnicza
196 ,ulica Béli Bartóka                                       ,ulicy Béli Bartóka                                                              ,ul. B. Bartóka
197 ,ulica Sylwestra Bartosika                                ,ulicy Sylwestra Bartosika                                                       ,ul. S. Bartosika
198 ,ulica Juliana Bartoszewicza                              ,ulicy Juliana Bartoszewicza                                                     ,ul. J. Bartoszewicza
199 ,ulica Franciszka Bartoszka                               ,ulicy Franciszka Bartoszka                                                      ,ul. F. Bartoszka
200 ,ulica Bartoszycka                                        ,ulicy Bartoszyckiej                                                             ,ul. Bartoszycka
201 ,ulica Bartycka                                           ,ulicy Bartyckiej                                                                ,ul. Bartycka
202 ,ulica Barwinkowa                                         ,ulicy Barwinkowej                                                               ,ul. Barwinkowa
203 ,ulica Barwna                                             ,ulicy Barwnej                                                                   ,ul. Barwna
204 ,ulica Barwnicza                                          ,ulicy Barwniczej                                                                ,ul. Barwnicza
205 ,ulica Baryczków                                          ,ulicy Baryczków                                                                 ,ul. Baryczków
206 ,ulica Basetli                                            ,ulicy Basetli                                                                   ,ul. Basetli
207 ,ulica Baśniowa                                           ,ulicy Baśniowej                                                                 ,ul. Baśniowa
208 ,ulica Baśniowa                                           ,ulicy Baśniowej                                                                 ,ul. Baśniowa
209 ,ulica Batalionów Chłopskich                              ,ulicy Batalionów Chłopskich                                                     ,ul. Batalionów Chłopskich
210 ,ulica Batalionu „Miotła”                                 ,ulicy Batalionu „Miotła”                                                        ,ul. Batalionu „Miotła”
211 ,ulica Batalionu AK „Bałtyk”                              ,ulicy Batalionu AK „Bałtyk”                                                     ,ul. Batalionu AK „Bałtyk”
212 ,Skwer Batalionu AK „Czata 49”                            ,Skweru Batalionu AK „Czata 49”                                                  ,Skwer Batalionu AK „Czata 49”
213 ,Skwer Batalionu AK „Gozdawa”                             ,Skweru Batalionu AK„Gozdawa”                                                    ,Skwer Batalionu AK „Gozdawa”
214 ,ulica Batalionu AK „Karpaty”                             ,ulicy Batalionu AK „Karpaty”                                                    ,ul. Batalionu AK „Karpaty”
215 ,Skwer Batalionu AK „Miłosz”                              ,Skweru Batalionu AK „Miłosz”                                                    ,Skwer Batalionu AK „Miłosz”
216 ,ulica Batalionu AK „Oaza”                                ,ulicy Batalionu AK „Oaza”                                                       ,ul. Batalionu AK „Oaza”
217 ,ulica Batalionu AK „Olza”                                ,ulicy Batalionu AK „Olza”                                                       ,ul. Batalionu AK „Olza”
218 ,ulica Batalionu AK „Parasol”                             ,ulicy Batalionu AK „Parasol”                                                    ,ul. Batalionu AK „Parasol”
219 ,ulica Batalionu AK „Pięść”                               ,ulicy Batalionu AK „Pięść”                                                      ,ul. Batalionu AK „Pięść”
220 ,Skwer Batalionu AK „Ruczaj”                              ,Skweru Batalionu AK „Ruczaj”                                                    ,Skwer Batalionu AK „Ruczaj”
221 ,ulica Batalionu AK „Ryś”                                 ,ulicy Batalionu AK „Ryś”                                                        ,ul. Batalionu AK „Ryś”
222 ,ulica Batalionu AK „Włochy”                              ,ulicy Batalionu AK „Włochy”                                                     ,ul. Batalionu AK „Włochy”
223 ,Skwer Batalionu AK „Zaremba-Piorun”                      ,Skweru Batalionu AK „Zaremba-Piorun”                                            ,Skwer Batalionu AK „Zaremba-Piorun”
224 ,ulica Batalionu AK „Zośka”                               ,ulicy Batalionu AK „Zośka”                                                      ,ul. Batalionu AK „Zośka”
225 ,Skwer Batalionu Harcerskiego AK „Wigry”                  ,Skweru Batalionu Harcerskiego AK „Wigry”                                        ,Skwer Batalionu Harcerskiego AK „Wigry”
226 ,Skwer 3 Batalionu Pancernego AK „Golski”                 ,Skweru 3 Batalionu Pancernego AK „Golski”                                       ,Skwer 3 Batalionu Pancernego AK „Golski”
227 ,ulica Batalionu Platerówek                               ,ulicy Batalionu Platerówek                                                      ,ul. Batalionu Platerówek
228 ,ulica Stefana Batorego                                   ,ulicy Stefana Batorego                                                          ,ul. Stefana Batorego
229 ,ulica Batumi                                             ,ulicy Batumi                                                                    ,ul. Batumi
230 ,ulica Batuty                                             ,ulicy Batuty                                                                    ,ul. Batuty
231 ,ulica Batystowa                                          ,ulicy Batystowej                                                                ,ul. Batystowa
232 ,ulica Bawełniana                                         ,ulicy Bawełnianej                                                               ,ul. Bawełniana
233 ,Skwer Bazy Lotniczej AK „Łużyce”                         ,Skweru Bazy Lotniczej AK „Łużyce”                                               ,Skwer Bazy Lotniczej AK „Łużyce”
234 ,ulica Bazyliańska                                        ,ulicy Bazyliańskiej                                                             ,ul. Bazyliańska
235 ,ulica Bazyliowa                                          ,ulicy Bazyliowej                                                                ,ul. Bazyliowa
236 ,ulica Bażancia                                           ,ulicy Bażanciej                                                                 ,ul. Bażancia
237 ,Skwer Tekli Bądarzewskiej                                ,Skweru Tekli Bądarzewskiej                                                      ,Skwer T. Bądarzewskiej
238 ,Aleja Józefa Becka                                       ,Alei Józefa Becka                                                               ,al. J. Becka
239 ,ulica Beczkowa                                           ,ulicy Beczkowej                                                                 ,ul. Beczkowa
240 ,ulica Bednarska                                          ,ulicy Bednarskiej                                                               ,ul. Bednarska
241 ,ulica Ludwiga van Beethovena                             ,ulicy Ludwiga van Beethovena                                                    ,ul. L. van Beethovena
242 ,ulica Begonii                                            ,ulicy Begonii                                                                   ,ul. Begonii
243 ,ulica Bekasów                                            ,ulicy Bekasów                                                                   ,ul. Bekasów
244 ,ulica Belgijska                                          ,ulicy Belgijskiej                                                               ,ul. Belgijska
245 ,ulica Belgradzka                                         ,ulicy Belgradzkiej                                                              ,ul. Belgradzka
246 ,ulica Bellony                                            ,ulicy Bellony                                                                   ,ul. Bellony
247 ,ulica Józefa Bellottiego                                 ,ulicy Józefa Bellottiego                                                        ,ul. J. Bellottiego
248 ,ulica Belwederska                                        ,ulicy Belwederskiej                                                             ,ul. Belwederska
249 ,ulica Bełchatowska                                       ,ulicy Bełchatowskiej                                                            ,ul. Bełchatowska
250 ,ulica Bełdan                                             ,ulicy Bełdan                                                                    ,ul. Bełdan
251 ,ulica Bełska                                             ,ulicy Bełskiej                                                                  ,ul. Bełska
252 ,ulica Władysława Bełzy                                   ,ulicy Władysława Bełzy                                                          ,ul. W. Bełzy
253 ,ulica Bełżecka                                           ,ulicy Bełżeckiej                                                                ,ul. Bełżecka
254 ,ulica Józefa Bema                                        ,ulicy Józefa Bema                                                               ,ul. J. Bema
255 ,ulica Benedykta                                          ,ulicy Benedykta                                                                 ,ul. Benedykta
256 ,ulica Benedykta Polaka                                   ,ulicy Benedykta Polaka                                                          ,ul. Benedykta Polaka
257 ,ulica Jamesa Gordona Bennetta                            ,ulicy Jamesa Gordona Bennetta                                                   ,ul. J. G. Bennetta
258 ,ulica Berberysowa                                        ,ulicy Berberysowej                                                              ,ul. Berberysowa
259 ,Skwerek Berek                                            ,Skwerku Berek                                                                   ,Skwerek Berek
260 ,ulica Leona Berensona                                    ,ulicy Leona Berensona                                                           ,ul. L. Berensona
261 ,ulica Stefana Berenta                                    ,ulicy Stefana Berenta                                                           ,ul. S. Berenta
262 ,ulica Wacława Berenta                                    ,ulicy Wacława Berenta                                                           ,ul. W. Berenta
263 ,ulica Berestecka                                         ,ulicy Beresteckiej                                                              ,ul. Berestecka
264 ,ulica Berezyńska                                         ,ulicy Berezyńskiej                                                              ,ul. Berezyńska
265 ,Skwer Ludwika Bergera „Goliata”                          ,Skweru Ludwika Bergera„Goliata”                                                 ,Skwer L. Bergera „Goliata”
266 ,ulica Berka Joselewicza                                  ,ulicy Berka Joselewicza                                                         ,ul. Berka Joselewicza
267 ,ulica Bernardyńska                                       ,ulicy Bernardyńskiej                                                            ,ul. Bernardyńska
268 ,Plac Bernardyński                                        ,Placu Bernardyńskiego                                                           ,pl. Bernardyński
269 ,ulica Berneńska                                          ,ulicy Berneńskiej                                                               ,ul. Berneńska
270 ,ulica Beskidzka                                          ,ulicy Beskidzkiej                                                               ,ul. Beskidzka
271 ,ulica Betonowa                                           ,ulicy Betonowej                                                                 ,ul. Betonowa
272 ,ulica Będzińska                                          ,ulicy Będzińskiej                                                               ,ul. Będzińska
273 ,ulica Biała                                              ,ulicy Białej                                                                    ,ul. Biała
274 ,ulica Białej Wody                                        ,ulicy Białej Wody                                                               ,ul. Białej Wody
275 ,ulica Białoborska                                        ,ulicy Białoborskiej                                                             ,ul. Białoborska
276 ,ulica Białobrzeska                                       ,ulicy Białobrzeskiej                                                            ,ul. Białobrzeska
277 ,ulica Białogońska                                        ,ulicy Białogońskiej                                                             ,ul. Białogońska
278 ,ulica Białołęcka                                         ,ulicy Białołęckiej                                                              ,ul. Białołęcka
279 ,ulica Białoskórnicza                                     ,ulicy Białoskórniczej                                                           ,ul. Białoskórnicza
280 ,ulica Białostocka                                        ,ulicy Białostockiej                                                             ,ul. Białostocka
281 ,Dreptak Mirona Białoszewskiego                           ,Dreptaka MironaBiałoszewskiego                                                  ,Dreptak M. Białoszewskiego
282 ,ulica Białowiejska                                       ,ulicy Białowiejskiej                                                            ,ul. Białowiejska
283 ,ulica Białowieska                                        ,ulicy Białowieskiej                                                             ,ul. Białowieska
284 ,ulica Białozora                                          ,ulicy Białozora                                                                 ,ul. Białozora
